FID	NAME	VALUE
0	SCEStop	0
0	Rwait	93
0	TRMiss	2
0	TDMiss	0
0	Swait	0
0	TPickup	11527
0	TPriming	0
0	LotModule	64
0	BRcgStop	0
0	CDErr	0
0	McFwait	4
0	BNDRcgStop	0
0	JudgeStop	0
0	Fwait	4
0	TPMiss	5
0	SCStop	0
0	Pwait	0
0	THMiss	0
0	TDispense	0
0	TRSErr	0
0	CTErr	0
0	LotBoard	64
0	MHRcgStop	0
0	McRwait	40
0	CnvStop	0
0	Module	64
0	BNDStop	0
0	Board	64
0	Cwait	0
0	CRErr	0
0	FBStop	0
0	TMount	11520
0	Trbl	0
0	CMErr	0
0	Bwait	0
0	OthrStop	0
0	TMMiss	0
0	OtherLStop	48
0	CPErr	0
0	JointPassWait	0
0	TRSMiss	0
1	Module	65
1	CnvStop	0
1	McRwait	40
1	LotBoard	65
1	MHRcgStop	0
1	CTErr	0
1	CRErr	0
1	Cwait	0
1	Board	65
1	BNDStop	0
1	OthrStop	0
1	TMMiss	0
1	Bwait	0
1	CMErr	0
1	Trbl	0
1	TMount	11700
1	FBStop	0
1	TRSMiss	0
1	CPErr	0
1	JointPassWait	0
1	OtherLStop	53
1	TRMiss	2
1	Rwait	79
1	SCEStop	0
1	BNDRcgStop	0
1	McFwait	4
1	CDErr	0
1	BRcgStop	0
1	TPriming	0
1	LotModule	65
1	TPickup	11709
1	Swait	0
1	TDMiss	0
1	Fwait	4
1	JudgeStop	0
1	THMiss	3
1	TDispense	0
1	TRSErr	0
1	SCStop	0
1	Pwait	0
1	TPMiss	4
2	Module	65
2	CnvStop	0
2	McRwait	40
2	LotBoard	65
2	MHRcgStop	0
2	CTErr	0
2	CRErr	0
2	Cwait	0
2	BNDStop	0
2	Board	65
2	TMMiss	0
2	OthrStop	0
2	Bwait	0
2	Trbl	0
2	CMErr	0
2	TMount	11700
2	FBStop	0
2	TRSMiss	0
2	JointPassWait	0
2	CPErr	0
2	OtherLStop	49
2	TRMiss	2
2	Rwait	94
2	SCEStop	0
2	McFwait	4
2	BNDRcgStop	0
2	CDErr	0
2	BRcgStop	0
2	LotModule	65
2	TPriming	0
2	TPickup	11707
2	Swait	0
2	TDMiss	0
2	Fwait	4
2	JudgeStop	0
2	TDispense	0
2	THMiss	0
2	TRSErr	0
2	Pwait	0
2	SCStop	0
2	TPMiss	5
3	Fwait	4
3	JudgeStop	0
3	TRSErr	0
3	TDispense	0
3	THMiss	3
3	Pwait	0
3	SCStop	0
3	TPMiss	4
3	TRMiss	2
3	Rwait	81
3	SCEStop	0
3	McFwait	4
3	BNDRcgStop	0
3	CDErr	0
3	BRcgStop	0
3	LotModule	66
3	TPriming	0
3	TPickup	11889
3	Swait	0
3	TDMiss	0
3	OthrStop	0
3	TMMiss	0
3	Bwait	0
3	Trbl	0
3	CMErr	0
3	TMount	11880
3	FBStop	0
3	TRSMiss	0
3	CPErr	0
3	JointPassWait	0
3	OtherLStop	54
3	Module	66
3	CnvStop	0
3	McRwait	40
3	MHRcgStop	0
3	LotBoard	66
3	CTErr	0
3	CRErr	0
3	Cwait	0
3	Board	66
3	BNDStop	0
4	TDMiss	0
4	Swait	0
4	TPickup	11887
4	TPriming	0
4	LotModule	66
4	BRcgStop	0
4	CDErr	0
4	McFwait	4
4	BNDRcgStop	0
4	SCEStop	0
4	Rwait	95
4	TRMiss	2
4	TPMiss	5
4	SCStop	0
4	Pwait	0
4	THMiss	0
4	TDispense	0
4	TRSErr	0
4	JudgeStop	0
4	Fwait	4
4	Board	66
4	BNDStop	0
4	Cwait	0
4	CRErr	0
4	CTErr	0
4	MHRcgStop	0
4	LotBoard	66
4	CnvStop	0
4	McRwait	40
4	Module	66
4	OtherLStop	50
4	JointPassWait	0
4	CPErr	0
4	TRSMiss	0
4	FBStop	0
4	TMount	11880
4	CMErr	0
4	Trbl	0
4	Bwait	0
4	OthrStop	0
4	TMMiss	0
5	CRErr	0
5	BNDStop	0
5	Board	67
5	Cwait	0
5	Module	67
5	CTErr	0
5	LotBoard	67
5	MHRcgStop	0
5	McRwait	40
5	CnvStop	0
5	OtherLStop	55
5	JointPassWait	0
5	CPErr	0
5	TRSMiss	0
5	Trbl	0
5	CMErr	0
5	Bwait	0
5	OthrStop	0
5	TMMiss	0
5	FBStop	0
5	TMount	12060
5	LotModule	67
5	TPriming	0
5	BRcgStop	0
5	CDErr	0
5	McFwait	4
5	BNDRcgStop	0
5	TDMiss	0
5	Swait	0
5	TPickup	12069
5	TRMiss	2
5	SCEStop	0
5	Rwait	82
5	SCStop	0
5	Pwait	0
5	THMiss	3
5	TDispense	0
5	TRSErr	0
5	TPMiss	4
5	Fwait	4
5	JudgeStop	0
6	Fwait	4
6	JudgeStop	0
6	Pwait	0
6	SCStop	0
6	TDispense	0
6	THMiss	0
6	TRSErr	0
6	TPMiss	5
6	TRMiss	2
6	SCEStop	0
6	Rwait	96
6	TPriming	0
6	LotModule	67
6	BRcgStop	0
6	CDErr	0
6	McFwait	4
6	BNDRcgStop	0
6	TDMiss	0
6	Swait	0
6	TPickup	12067
6	CMErr	0
6	Trbl	0
6	Bwait	0
6	TMMiss	0
6	OthrStop	0
6	FBStop	0
6	TMount	12060
6	OtherLStop	51
6	CPErr	0
6	JointPassWait	0
6	TRSMiss	0
6	Module	67
6	CTErr	0
6	MHRcgStop	0
6	LotBoard	67
6	CnvStop	0
6	McRwait	40
6	CRErr	0
6	BNDStop	0
6	Board	67
6	Cwait	0
7	OthrStop	0
7	TMMiss	0
