FNAME	FID
20161207235946366+-+01+-+1+-+2+-+297077+-+YEP0PTD000NH|00|A|101634201677|01+-+3+-++-+YEP0PTD000NH|00|A|101634201677|01.U01	0
20161208012250728+-+01+-+1+-+1+-+297253+-+YEP0PTD000SH|00|A|101634201880|01+-+3+-++-+YEP0PTD000SH|00|A|101634201880|01.U01	90
20161208002843537+-+01+-+1+-+1+-+297215+-+YEP0PTD000NH|00|A|101634201691|01+-+3+-++-+YEP0PTD000NH|00|A|101634201691|01.U01	69
20161208000356861+-+01+-+1+-+2+-+297101+-+YEP0PTD000NH|00|A|101634201662|01+-+3+-++-+YEP0PTD000NH|00|A|101634201662|01.U01	12
20161208001217534+-+01+-+1+-+2+-+297129+-+YEP0PTD000NH|00|A|101634201609|01+-+3+-++-+YEP0PTD000NH|00|A|101634201609|01.U01	26
20161208001714430+-+01+-+1+-+2+-+297157+-+YEP0PTD000NH|00|A|101634201648|01+-+3+-++-+YEP0PTD000NH|00|A|101634201648|01.U01	40
20161208012229376+-+01+-+1+-+2+-+297251+-+YEP0PTD000SH|00|A|101634201879|01+-+3+-++-+YEP0PTD000SH|00|A|101634201879|01.U01	89
20161208011854096+-+01+-+1+-+2+-+297231+-+YEP0PTD000SH|00|A|101634201869|01+-+3+-++-+YEP0PTD000SH|00|A|101634201869|01.U01	79
20161208001032513+-+01+-+1+-+1+-+297119+-+YEP0PTD000NH|00|A|101634201614|01+-+3+-++-+YEP0PTD000NH|00|A|101634201614|01.U01	21
20161208000028092+-+01+-+1+-+2+-+297081+-+YEP0PTD000NH|00|A|101634201680|01+-+3+-++-+YEP0PTD000NH|00|A|101634201680|01.U01	2
20161208012021159+-+01+-+1+-+2+-+297239+-+YEP0PTD000SH|00|A|101634201873|01+-+3+-++-+YEP0PTD000SH|00|A|101634201873|01.U01	83
20161208002536160+-+01+-+1+-+2+-+297197+-+YEP0PTD000NH|00|A|101634201699|01+-+3+-++-+YEP0PTD000NH|00|A|101634201699|01.U01	60
20161208011915570+-+01+-+1+-+1+-+297233+-+YEP0PTD000SH|00|A|101634201870|01+-+3+-++-+YEP0PTD000SH|00|A|101634201870|01.U01	80
20161208001816581+-+01+-+1+-+1+-+297163+-+YEP0PTD000NH|00|A|101634201645|01+-+3+-++-+YEP0PTD000NH|00|A|101634201645|01.U01	43
20161208013255021+-+01+-+1+-+2+-+297259+-+YEP0PTD000SH|00|A|101634201883|01+-+5+-++-+YEP0PTD000SH|00|A|101634201883|01.U01	93
20161208012125396+-+01+-+1+-+1+-+297245+-+YEP0PTD000SH|00|A|101634201876|01+-+3+-++-+YEP0PTD000SH|00|A|101634201876|01.U01	86
