FID	NAME	VALUE
0	Format	ProductReport
0	MJSID	RSD000NH-VF-CH-NEW
0	Diff	
0	Comment	
0	Date	2016/12/07,23:59:46
0	Machine	NPM
0	Version	1.0000
0	AuthorType	Machine
0	Author	
1	Date	2016/12/08,00:00:06
1	Machine	NPM
1	Version	1.0000
1	AuthorType	Machine
1	Author	
1	Format	ProductReport
1	MJSID	RSD000NH-VF-CH-NEW
1	Diff	
1	Comment	
2	Comment	
2	Format	ProductReport
2	MJSID	RSD000NH-VF-CH-NEW
2	Diff	
2	Machine	NPM
2	Version	1.0000
2	AuthorType	Machine
2	Author	
2	Date	2016/12/08,00:00:28
3	Diff	
3	MJSID	RSD000NH-VF-CH-NEW
3	Format	ProductReport
3	Comment	
3	Date	2016/12/08,00:00:48
3	Author	
3	AuthorType	Machine
3	Version	1.0000
3	Machine	NPM
4	Machine	NPM
4	Version	1.0000
4	AuthorType	Machine
4	Author	
4	Date	2016/12/08,00:01:09
4	Comment	
4	Format	ProductReport
4	MJSID	RSD000NH-VF-CH-NEW
4	Diff	
5	Comment	
5	Diff	
5	Format	ProductReport
5	MJSID	RSD000NH-VF-CH-NEW
5	AuthorType	Machine
5	Author	
5	Machine	NPM
5	Version	1.0000
5	Date	2016/12/08,00:01:30
6	Comment	
6	Format	ProductReport
6	MJSID	RSD000NH-VF-CH-NEW
6	Diff	
6	Machine	NPM
6	Version	1.0000
6	AuthorType	Machine
6	Author	
6	Date	2016/12/08,00:01:51
7	Version	1.0000
7	Machine	NPM
7	Author	
7	AuthorType	Machine
7	Date	2016/12/08,00:02:11
7	Comment	
7	MJSID	RSD000NH-VF-CH-NEW
7	Format	ProductReport
7	Diff	
8	Comment	
8	Diff	
8	Format	ProductReport
8	MJSID	RSD000NH-VF-CH-NEW
8	AuthorType	Machine
8	Author	
8	Machine	NPM
8	Version	1.0000
8	Date	2016/12/08,00:02:33
9	Date	2016/12/08,00:02:53
9	Machine	NPM
9	Version	1.0000
9	AuthorType	Machine
9	Author	
9	Format	ProductReport
9	MJSID	RSD000NH-VF-CH-NEW
9	Diff	
9	Comment	
10	Diff	
10	MJSID	RSD000NH-VF-CH-NEW
10	Format	ProductReport
10	Comment	
10	Date	2016/12/08,00:03:15
10	Author	
10	AuthorType	Machine
10	Version	1.0000
10	Machine	NPM
11	Date	2016/12/08,00:03:35
11	Machine	NPM
11	Version	1.0000
11	AuthorType	Machine
11	Author	
11	Format	ProductReport
11	MJSID	RSD000NH-VF-CH-NEW
11	Diff	
11	Comment	
12	Format	ProductReport
12	MJSID	RSD000NH-VF-CH-NEW
12	Diff	
12	Comment	
12	Date	2016/12/08,00:03:56
12	Machine	NPM
12	Version	1.0000
12	AuthorType	Machine
12	Author	
13	Diff	
13	MJSID	RSD000NH-VF-CH-NEW
13	Format	ProductReport
13	Comment	
13	Date	2016/12/08,00:04:18
13	Author	
13	AuthorType	Machine
13	Version	1.0000
13	Machine	NPM
14	Date	2016/12/08,00:04:39
14	Author	
14	AuthorType	Machine
14	Version	1.0000
14	Machine	NPM
14	Diff	
14	MJSID	RSD000NH-VF-CH-NEW
14	Format	ProductReport
14	Comment	
15	AuthorType	Machine
15	Author	
15	Machine	NPM
15	Version	1.0000
15	Date	2016/12/08,00:05:02
15	Comment	
15	Diff	
15	Format	ProductReport
15	MJSID	RSD000NH-VF-CH-NEW
16	Date	2016/12/08,00:08:47
16	Machine	NPM
16	Version	1.0000
16	AuthorType	Machine
16	Author	
16	Format	ProductReport
16	MJSID	RSD000NH-VF-CH-NEW
16	Diff	
16	Comment	
17	Date	2016/12/08,00:09:08
17	AuthorType	Machine
17	Author	
17	Machine	NPM
17	Version	1.0000
17	Diff	
17	Format	ProductReport
17	MJSID	RSD000NH-VF-CH-NEW
17	Comment	
18	Format	ProductReport
18	MJSID	RSD000NH-VF-CH-NEW
18	Diff	
18	Comment	
18	Date	2016/12/08,00:09:29
18	Machine	NPM
18	Version	1.0000
18	AuthorType	Machine
18	Author	
19	MJSID	RSD000NH-VF-CH-NEW
19	Format	ProductReport
19	Diff	
19	Comment	
19	Date	2016/12/08,00:09:50
19	Version	1.0000
19	Machine	NPM
19	Author	
19	AuthorType	Machine
20	Comment	
20	Diff	
20	MJSID	RSD000NH-VF-CH-NEW
20	Format	ProductReport
20	Author	
20	AuthorType	Machine
20	Version	1.0000
20	Machine	NPM
20	Date	2016/12/08,00:10:12
21	Version	1.0000
21	Machine	NPM
21	Author	
21	AuthorType	Machine
21	Date	2016/12/08,00:10:32
21	Comment	
21	MJSID	RSD000NH-VF-CH-NEW
21	Format	ProductReport
21	Diff	
22	Version	1.0000
22	Machine	NPM
22	Author	
22	AuthorType	Machine
22	Date	2016/12/08,00:10:54
22	Comment	
22	MJSID	RSD000NH-VF-CH-NEW
