FID	NAME	VALUE
0	SerialStatus	0
0	Lane	2
0	Code	YEP0PTD000NH|00|A|101634201677|01
0	Serial	297077
0	LotNumber	1
0	Rev	87
0	Stage	1
0	PlanID	0
0	ProductID	2197
0	BcrStatus	0
0	Output	3
0	LotName	RSD000NH-05
1	Stage	1
1	ProductID	2197
1	PlanID	0
1	Code	YEP0PTD000NH|00|A|101634201678|01
1	Lane	1
1	Rev	87
1	LotNumber	1
1	Serial	297079
1	SerialStatus	0
1	LotName	RSD000NH-05
1	Output	3
1	BcrStatus	0
2	SerialStatus	0
2	Rev	87
2	LotNumber	1
2	Serial	297081
2	Lane	2
2	Code	YEP0PTD000NH|00|A|101634201680|01
2	PlanID	0
2	ProductID	2197
2	Stage	1
2	BcrStatus	0
2	Output	3
2	LotName	RSD000NH-05
3	ProductID	2197
3	PlanID	0
3	Stage	1
3	Serial	297083
3	LotNumber	1
3	Rev	87
3	Code	YEP0PTD000NH|00|A|101634201679|01
3	Lane	1
3	SerialStatus	0
3	LotName	RSD000NH-05
3	Output	3
3	BcrStatus	0
4	LotName	RSD000NH-05
4	Output	3
4	BcrStatus	0
4	Stage	1
4	ProductID	2197
4	PlanID	0
4	Code	YEP0PTD000NH|00|A|101634201681|01
4	Lane	2
4	Rev	87
4	LotNumber	1
4	Serial	297085
4	SerialStatus	0
5	PlanID	0
5	ProductID	2197
5	Stage	1
5	SerialStatus	0
5	Rev	87
5	LotNumber	1
5	Serial	297087
5	Code	YEP0PTD000NH|00|A|101634201682|01
5	Lane	1
5	LotName	RSD000NH-05
5	BcrStatus	0
5	Output	3
6	LotNumber	1
6	Rev	87
6	Serial	297089
6	Code	YEP0PTD000NH|00|A|101634201683|01
6	Lane	2
6	SerialStatus	0
6	ProductID	2197
6	PlanID	0
6	Stage	1
6	Output	3
6	BcrStatus	0
6	LotName	RSD000NH-05
7	ProductID	2197
7	PlanID	0
7	Stage	1
7	Rev	87
7	LotNumber	1
7	Serial	297091
7	Code	YEP0PTD000NH|00|A|101634201684|01
7	Lane	1
7	SerialStatus	0
7	LotName	RSD000NH-05
7	Output	3
7	BcrStatus	0
8	Stage	1
8	ProductID	2197
8	PlanID	0
8	SerialStatus	0
8	Code	YEP0PTD000NH|00|A|101634201685|01
8	Lane	2
8	Serial	297093
8	LotNumber	1
8	Rev	87
8	LotName	RSD000NH-05
8	BcrStatus	0
8	Output	3
9	BcrStatus	0
9	Output	3
9	LotName	RSD000NH-05
9	SerialStatus	0
9	LotNumber	1
9	Rev	87
9	Serial	297095
9	Lane	1
9	Code	YEP0PTD000NH|00|A|101634201686|01
9	PlanID	0
9	ProductID	2197
9	Stage	1
10	PlanID	0
10	ProductID	2197
10	Stage	1
10	SerialStatus	0
10	Serial	297097
10	LotNumber	1
10	Rev	87
10	Code	YEP0PTD000NH|00|A|101634201687|01
10	Lane	2
10	LotName	RSD000NH-05
10	BcrStatus	0
10	Output	3
11	LotName	RSD000NH-05
11	BcrStatus	0
11	Output	3
11	PlanID	0
11	ProductID	2197
11	Stage	1
11	SerialStatus	0
11	LotNumber	1
11	Rev	87
11	Serial	297099
11	Lane	1
11	Code	YEP0PTD000NH|00|A|101634201663|01
12	BcrStatus	0
12	Output	3
12	LotName	RSD000NH-05
12	SerialStatus	0
12	Lane	2
12	Code	YEP0PTD000NH|00|A|101634201662|01
12	LotNumber	1
12	Rev	87
12	Serial	297101
12	Stage	1
12	ProductID	2197
12	PlanID	0
13	SerialStatus	0
13	LotNumber	1
13	Serial	297103
13	Rev	87
13	Lane	1
13	Code	YEP0PTD000NH|00|A|101634201661|01
13	ProductID	2197
13	PlanID	0
13	Stage	1
13	BcrStatus	0
13	Output	3
13	LotName	RSD000NH-05
14	SerialStatus	0
14	Serial	297105
14	LotNumber	1
14	Rev	87
14	Lane	2
14	Code	YEP0PTD000NH|00|A|101634201660|01
14	PlanID	0
14	ProductID	2197
14	Stage	1
14	BcrStatus	0
14	Output	3
14	LotName	RSD000NH-05
15	LotName	RSD000NH-05
15	BcrStatus	0
15	Output	3
15	Stage	1
15	PlanID	0
15	ProductID	2197
15	SerialStatus	0
15	Lane	1
15	Code	YEP0PTD000NH|00|A|101634201659|01
15	LotNumber	1
15	Rev	87
15	Serial	297107
16	SerialStatus	0
16	Code	YEP0PTD000NH|00|A|101634201658|01
16	Lane	2
16	Serial	297109
16	LotNumber	1
16	Rev	87
16	Stage	1
16	ProductID	2197
16	PlanID	0
16	BcrStatus	0
16	Output	3
16	LotName	RSD000NH-05
17	LotName	RSD000NH-05
17	BcrStatus	0
17	Output	3
17	ProductID	2197
17	PlanID	0
17	Stage	1
17	SerialStatus	0
17	Serial	297111
17	LotNumber	1
17	Rev	87
17	Code	YEP0PTD000NH|00|A|101634201657|01
17	Lane	1
18	ProductID	2197
18	PlanID	0
18	Stage	1
18	SerialStatus	0
18	LotNumber	1
18	Serial	297113
18	Rev	87
18	Lane	2
