FID	NAME	VALUE
0	BadBoard	0
0	OKParts	0
0	BadParts	0
0	LotBadBlock	0
0	LotOKParts	0
0	LotBadParts	0
0	LotBlock	0
0	LotBadBoard	0
0	RetryBoard	0
0	Block	0
0	LotRetryBoard	0
0	BadBlock	0
1	BadBlock	0
1	Block	0
1	LotRetryBoard	0
1	RetryBoard	0
1	LotBadBoard	0
1	LotBlock	0
1	LotOKParts	0
1	LotBadParts	0
1	LotBadBlock	0
1	BadParts	0
1	OKParts	0
1	BadBoard	0
2	LotBadBlock	0
2	BadParts	0
2	BadBoard	0
2	OKParts	0
2	LotRetryBoard	0
2	Block	0
2	RetryBoard	0
2	BadBlock	0
2	LotBadParts	0
2	LotOKParts	0
2	LotBadBoard	0
2	LotBlock	0
3	LotBadBlock	0
3	BadParts	0
3	OKParts	0
3	BadBoard	0
3	BadBlock	0
3	LotRetryBoard	0
3	Block	0
3	RetryBoard	0
3	LotBadBoard	0
3	LotBlock	0
3	LotBadParts	0
3	LotOKParts	0
4	LotOKParts	0
4	LotBadParts	0
4	LotBlock	0
4	LotBadBoard	0
4	RetryBoard	0
4	Block	0
4	LotRetryBoard	0
4	BadBlock	0
4	OKParts	0
4	BadBoard	0
4	BadParts	0
4	LotBadBlock	0
5	LotBadBoard	0
5	LotBlock	0
5	LotBadParts	0
5	LotOKParts	0
5	BadBlock	0
5	Block	0
5	LotRetryBoard	0
5	RetryBoard	0
5	BadBoard	0
5	OKParts	0
5	LotBadBlock	0
5	BadParts	0
6	LotBadParts	0
6	LotOKParts	0
6	LotBlock	0
6	LotBadBoard	0
6	RetryBoard	0
6	Block	0
6	LotRetryBoard	0
6	BadBlock	0
6	BadBoard	0
6	OKParts	0
6	BadParts	0
6	LotBadBlock	0
7	LotBadBlock	0
7	BadParts	0
7	OKParts	0
7	BadBoard	0
7	BadBlock	0
7	LotRetryBoard	0
7	Block	0
7	RetryBoard	0
7	LotBadBoard	0
7	LotBlock	0
7	LotOKParts	0
7	LotBadParts	0
8	OKParts	0
8	BadBoard	0
8	LotBadBlock	0
8	BadParts	0
8	LotBadParts	0
8	LotOKParts	0
8	LotBadBoard	0
8	LotBlock	0
8	Block	0
8	LotRetryBoard	0
8	RetryBoard	0
8	BadBlock	0
9	LotBlock	0
9	LotBadBoard	0
9	LotBadParts	0
9	LotOKParts	0
9	BadBlock	0
9	RetryBoard	0
9	Block	0
9	LotRetryBoard	0
9	BadBoard	0
9	OKParts	0
9	BadParts	0
9	LotBadBlock	0
10	BadBoard	0
10	OKParts	0
10	BadParts	0
10	LotBadBlock	0
10	LotBlock	0
10	LotBadBoard	0
10	LotOKParts	0
10	LotBadParts	0
10	BadBlock	0
10	RetryBoard	0
10	Block	0
10	LotRetryBoard	0
11	BadBoard	0
11	OKParts	0
11	BadParts	0
11	LotBadBlock	0
11	LotBadParts	0
11	LotOKParts	0
11	LotBlock	0
11	LotBadBoard	0
11	RetryBoard	0
11	LotRetryBoard	0
11	Block	0
11	BadBlock	0
12	BadBoard	0
12	OKParts	0
12	BadParts	0
12	LotBadBlock	0
12	LotBlock	0
12	LotBadBoard	0
12	LotOKParts	0
12	LotBadParts	0
12	BadBlock	0
12	RetryBoard	0
12	LotRetryBoard	0
12	Block	0
13	LotBadBoard	0
13	LotBlock	0
13	LotOKParts	0
13	LotBadParts	0
13	BadBlock	0
13	LotRetryBoard	0
13	Block	0
13	RetryBoard	0
13	OKParts	0
13	BadBoard	0
13	LotBadBlock	0
13	BadParts	0
14	BadParts	0
14	LotBadBlock	0
14	OKParts	0
14	BadBoard	0
14	RetryBoard	0
14	Block	0
14	LotRetryBoard	0
14	BadBlock	0
14	LotOKParts	0
14	LotBadParts	0
14	LotBlock	0
14	LotBadBoard	0
15	BadBlock	0
15	RetryBoard	0
15	LotRetryBoard	0
15	Block	0
15	LotBlock	0
15	LotBadBoard	0
15	LotOKParts	0
15	LotBadParts	0
15	BadParts	0
15	LotBadBlock	0
15	BadBoard	0
15	OKParts	0
16	LotBlock	0
16	LotBadBoard	0
16	LotBadParts	0
16	LotOKParts	0
16	BadBlock	0
16	RetryBoard	0
16	Block	0
16	LotRetryBoard	0
16	BadBoard	0
16	OKParts	0
16	BadParts	0
16	LotBadBlock	0
17	LotOKParts	0
17	LotBadParts	0
17	LotBlock	0
17	LotBadBoard	0
17	RetryBoard	0
17	LotRetryBoard	0
17	Block	0
17	BadBlock	0
17	OKParts	0
17	BadBoard	0
17	BadParts	0
17	LotBadBlock	0
18	RetryBoard	0
18	LotRetryBoard	0
18	Block	0
18	BadBlock	0
18	LotOKParts	0
18	LotBadParts	0
18	LotBlock	0
18	LotBadBoard	0
18	BadParts	0
18	LotBadBlock	0
18	OKParts	0
18	BadBoard	0
19	BadBlock	0
19	LotRetryBoard	0
19	Block	0
19	RetryBoard	0
19	LotBadBoard	0
19	LotBlock	0
19	LotOKParts	0
19	LotBadParts	0
19	LotBadBlock	0
19	BadParts	0
19	OKParts	0
19	BadBoard	0
20	BadBlock	0
20	Block	0
20	LotRetryBoard	0
20	RetryBoard	0
20	LotBadBoard	0
20	LotBlock	0
20	LotOKParts	0
20	LotBadParts	0
20	LotBadBlock	0
20	BadParts	0
20	BadBoard	0
20	OKParts	0
21	LotBadBlock	0
21	BadParts	0
21	BadBoard	0
21	OKParts	0
21	Block	0
21	LotRetryBoard	0
21	RetryBoard	0
21	BadBlock	0
21	LotOKParts	0
21	LotBadParts	0
21	LotBadBoard	0
21	LotBlock	0
22	OKParts	0
22	BadBoard	0
22	LotBadBlock	0
22	BadParts	0
22	LotBadBoard	0
22	LotBlock	0
22	LotOKParts	0
22	LotBadParts	0
22	BadBlock	0
22	LotRetryBoard	0
22	Block	0
22	RetryBoard	0
23	LotBadParts	0
23	LotOKParts	0
23	LotBadBoard	0
23	LotBlock	0
23	LotRetryBoard	0
23	Block	0
23	RetryBoard	0
23	BadBlock	0
23	BadBoard	0
23	OKParts	0
23	LotBadBlock	0
23	BadParts	0
24	BadParts	0
24	LotBadBlock	0
24	OKParts	0
24	BadBoard	0
24	BadBlock	0
24	RetryBoard	0
24	LotRetryBoard	0
24	Block	0
24	LotBlock	0
24	LotBadBoard	0
24	LotOKParts	0
24	LotBadParts	0
25	BadBoard	0
25	OKParts	0
25	LotBadBlock	0
25	BadParts	0
25	LotBadBoard	0
25	LotBlock	0
25	LotOKParts	0
25	LotBadParts	0
25	BadBlock	0
25	LotRetryBoard	0
25	Block	0
25	RetryBoard	0
26	BadParts	0
26	LotBadBlock	0
26	BadBoard	0
26	OKParts	0
26	RetryBoard	0
26	LotRetryBoard	0
26	Block	0
26	BadBlock	0
26	LotOKParts	0
26	LotBadParts	0
26	LotBlock	0
26	LotBadBoard	0
27	LotBadParts	0
27	LotOKParts	0
27	LotBlock	0
27	LotBadBoard	0
27	RetryBoard	0
27	Block	0
27	LotRetryBoard	0
27	BadBlock	0
27	BadBoard	0
27	OKParts	0
27	BadParts	0
27	LotBadBlock	0
28	BadBoard	0
28	OKParts	0
28	LotBadBlock	0
28	BadParts	0
28	LotOKParts	0
28	LotBadParts	0
28	LotBadBoard	0
28	LotBlock	0
28	LotRetryBoard	0
28	Block	0
28	RetryBoard	0
28	BadBlock	0
29	BadParts	0
29	LotBadBlock	0
29	OKParts	0
29	BadBoard	0
29	RetryBoard	0
29	LotRetryBoard	0
29	Block	0
29	BadBlock	0
29	LotBadParts	0
29	LotOKParts	0
