FID	Head	NHAdd	NCAdd	BLKCode	BLKSerial	UseR	NozzleName	Pickup	PMiss	RMiss	DMiss	MMiss	HMiss	TRSMiss	Mount
0	2	15	217			0	230	320	0	0	0	0	0	0	320
0	2	14	216			0	230	320	0	0	0	0	0	0	320
0	2	13	215			0	230	320	0	0	0	0	0	0	320
0	2	16	218			0	230	320	0	0	0	0	0	0	320
0	2	12	214			0	230	320	0	0	0	0	0	0	320
0	2	11	213			0	230	322	0	0	0	0	0	0	322
0	2	10	212			0	230	384	0	0	0	0	0	0	384
0	2	9	211			0	230	384	1	0	0	0	0	0	383
0	2	7	227			0	230	384	1	0	0	0	0	0	383
0	2	6	226			0	230	384	0	0	0	0	0	0	384
0	2	5	225			0	230	384	0	0	0	0	0	0	384
0	2	8	228			0	230	384	0	0	0	0	0	0	384
0	2	4	224			0	230	384	0	0	0	0	0	0	384
0	2	3	223			0	230	384	1	0	0	0	0	0	383
0	2	2	222			0	230	384	0	0	0	0	0	0	384
0	2	1	221			0	230	388	1	2	0	0	0	0	385
0	1	13	115			0	230	384	0	0	0	0	0	0	384
0	1	12	114			0	230	384	0	0	0	0	0	0	384
0	1	11	113			0	230	384	0	0	0	0	0	0	384
0	1	10	112			0	230	384	0	0	0	0	0	0	384
0	1	16	118			0	230	384	0	0	0	0	0	0	384
0	1	14	116			0	230	384	0	0	0	0	0	0	384
0	1	9	111			0	230	384	0	0	0	0	0	0	384
0	1	5	125			0	230	384	0	0	0	0	0	0	384
0	1	8	128			0	230	384	0	0	0	0	0	0	384
0	1	6	126			0	230	384	0	0	0	0	0	0	384
0	1	7	127			0	230	384	0	0	0	0	0	0	384
0	1	4	124			0	230	384	0	0	0	0	0	0	384
0	1	3	123			0	230	384	0	0	0	0	0	0	384
0	1	2	122			0	230	384	0	0	0	0	0	0	384
0	1	1	121			0	230	385	1	0	0	0	0	0	384
1	1	13	115			0	230	390	0	1	0	0	0	0	389
