FID	NAME	VALUE
0	BRcg	71.32
0	JointPassWait	0.00
0	CPErr	0.00
0	DataEdit	0.00
0	OtherLStop	333.97
0	Bwait	0.00
0	Trbl	0.00
0	Mente	0.00
0	CMErr	0.00
0	OthrStop	0.00
0	FBStop	0.00
0	CRErr	0.00
0	Cwait	0.00
0	BNDStop	0.00
0	MHRcgStop	0.00
0	UnitAdjust	0.00
0	CTErr	0.00
0	Prod	6047.33
0	McRwait	2745.99
0	CnvStop	0.00
0	TRSErr	0.00
0	SCStop	0.00
0	Pwait	0.00
0	TotalStop	4525.77
0	Mount	1180.47
0	Load	269.78
0	Fwait	455.43
0	ProdView	0.00
0	Change	48.55
0	Idle	0.00
0	JudgeStop	0.00
0	PowerON	6095.88
0	BRcgStop	0.00
0	BNDRcgStop	0.00
0	McFwait	391.70
0	CDErr	0.00
0	Swait	0.00
0	PRDStop	0.00
0	Actual	1251.78
0	SCEStop	0.00
0	Rwait	3736.37
1	CRErr	0.00
1	BNDStop	0.00
1	Cwait	0.00
1	McRwait	2745.99
1	CnvStop	0.00
1	Prod	6067.53
1	UnitAdjust	0.00
1	CTErr	0.00
1	MHRcgStop	0.00
1	BRcg	85.03
1	OtherLStop	283.02
1	CPErr	0.00
1	JointPassWait	0.00
1	DataEdit	0.00
1	OthrStop	0.00
1	CMErr	0.00
1	Trbl	0.00
1	Mente	0.00
1	Bwait	0.00
1	FBStop	0.00
1	CDErr	0.00
1	McFwait	391.70
1	BNDRcgStop	0.00
1	BRcgStop	0.00
1	PRDStop	0.00
1	Swait	0.00
1	Rwait	3772.01
1	Actual	1301.05
1	SCEStop	0.00
1	Pwait	0.00
1	SCStop	0.00
1	TRSErr	0.00
1	Load	250.67
1	Mount	1216.01
1	TotalStop	4515.82
1	Change	117.96
1	ProdView	0.00
1	Fwait	460.79
1	PowerON	6185.49
1	Idle	0.00
1	JudgeStop	0.00
2	Swait	0.00
2	PRDStop	0.00
2	BRcgStop	0.00
2	CDErr	0.00
2	BNDRcgStop	0.00
2	McFwait	391.70
2	Actual	1272.97
2	SCEStop	0.00
2	Rwait	3747.32
2	TotalStop	4544.38
2	Load	271.71
2	Mount	1199.90
2	Pwait	0.00
2	SCStop	0.00
2	TRSErr	0.00
2	PowerON	6137.60
2	JudgeStop	0.00
2	Idle	0.00
2	Fwait	455.43
2	Change	48.55
2	ProdView	0.00
2	BNDStop	0.00
2	Cwait	0.00
2	CRErr	0.00
2	CTErr	0.00
2	UnitAdjust	0.00
2	MHRcgStop	0.00
2	CnvStop	0.00
2	McRwait	2745.99
2	Prod	6089.05
2	OtherLStop	341.63
2	CPErr	0.00
2	JointPassWait	0.00
2	DataEdit	0.00
2	BRcg	73.06
2	FBStop	0.00
2	CMErr	0.00
2	Mente	0.00
2	Trbl	0.00
2	Bwait	0.00
2	OthrStop	0.00
3	PowerON	6227.31
3	JudgeStop	0.00
3	Idle	0.00
3	Change	117.96
3	ProdView	0.00
3	Fwait	460.79
3	Load	252.31
3	Mount	1234.64
3	TotalStop	4536.05
3	SCStop	0.00
3	Pwait	0.00
3	TRSErr	0.00
3	Rwait	3782.36
3	Actual	1320.98
3	SCEStop	0.00
3	PRDStop	0.00
3	Swait	0.00
3	CDErr	0.00
3	McFwait	391.70
3	BNDRcgStop	0.00
3	BRcgStop	0.00
3	FBStop	0.00
3	OthrStop	0.00
3	Mente	0.00
3	CMErr	0.00
3	Trbl	0.00
3	Bwait	0.00
3	OtherLStop	292.90
3	DataEdit	0.00
3	JointPassWait	0.00
3	CPErr	0.00
3	BRcg	86.34
3	McRwait	2745.99
3	CnvStop	0.00
3	Prod	6109.34
3	UnitAdjust	0.00
3	CTErr	0.00
3	MHRcgStop	0.00
3	BNDStop	0.00
3	Cwait	0.00
3	CRErr	0.00
4	CDErr	0.00
4	BNDRcgStop	0.00
4	McFwait	391.70
4	BRcgStop	0.00
4	PRDStop	0.00
4	Swait	0.00
4	Rwait	3760.67
4	SCEStop	0.00
4	Actual	1294.15
4	SCStop	0.00
4	Pwait	0.00
4	TRSErr	0.00
4	Mount	1219.34
4	Load	273.68
4	TotalStop	4563.05
4	Change	48.55
4	ProdView	0.00
4	Fwait	455.43
4	PowerON	6179.42
4	JudgeStop	0.00
4	Idle	0.00
4	CRErr	0.00
4	BNDStop	0.00
4	Cwait	0.00
4	CnvStop	0.00
4	McRwait	2745.99
4	Prod	6130.87
4	UnitAdjust	0.00
4	CTErr	0.00
4	MHRcgStop	0.00
4	BRcg	74.81
4	OtherLStop	346.95
4	JointPassWait	0.00
4	DataEdit	0.00
4	CPErr	0.00
4	OthrStop	0.00
4	Mente	0.00
4	Trbl	0.00
4	CMErr	0.00
4	Bwait	0.00
4	FBStop	0.00
5	McRwait	2745.99
5	CnvStop	0.00
5	Prod	6151.15
5	UnitAdjust	0.00
5	CTErr	0.00
5	MHRcgStop	0.00
5	BNDStop	0.00
5	Cwait	0.00
5	CRErr	0.00
5	FBStop	0.00
5	OthrStop	0.00
5	CMErr	0.00
5	Mente	0.00
5	Trbl	0.00
5	Bwait	0.00
5	OtherLStop	300.35
5	DataEdit	0.00
5	JointPassWait	0.00
5	CPErr	0.00
5	BRcg	87.68
5	Rwait	3795.30
5	SCEStop	0.00
5	Actual	1340.90
5	PRDStop	0.00
5	Swait	0.00
5	CDErr	0.00
5	McFwait	391.70
5	BNDRcgStop	0.00
5	BRcgStop	0.00
5	PowerON	6269.11
5	Idle	0.00
5	JudgeStop	0.00
5	Change	117.96
5	ProdView	0.00
5	Fwait	460.79
5	Mount	1253.23
5	Load	253.81
5	TotalStop	4556.44
5	SCStop	0.00
5	Pwait	0.00
5	TRSErr	0.00
6	CRErr	0.00
6	BNDStop	0.00
6	Cwait	0.00
6	CnvStop	0.00
6	McRwait	2745.99
6	Prod	6172.60
6	UnitAdjust	0.00
6	CTErr	0.00
6	MHRcgStop	0.00
