#CIMC Time,MCNo,Serial,LNB Date,LNB Time,Main Code,Sub Code,Main Msg,Sub Msg,PU,Side,Exhaust Code,Splice Code,Lane,Incident Place
10:37:37.210,1,1692,2017/03/23,10:38:13,03,010001,Main menu,Exit Main menu,,,,,00,000
10:37:37.313,1,1693,2017/03/23,10:38:13,03,190000,Production configuration,Start at Production configuration,,,,,00,000
10:37:37.514,1,1697,2017/03/23,10:38:14,31,000000,Screen change,Screen change,,,,,,
10:37:38.064,1,1698,2017/03/23,10:38:14,33,000000,Button operation,Button operation,,,,,,
10:37:38.352,1,1699,2017/03/23,10:38:15,31,000000,Screen change,Screen change,,,,,,
10:37:40.144,1,1700,2017/03/23,10:38:16,33,000000,Button operation,Button operation,,,,,,
10:37:41.001,1,1701,2017/03/23,10:38:18,31,000000,Screen change,Screen change,,,,,,
10:37:42.106,1,1702,2017/03/23,10:38:18,33,000000,Button operation,Button operation,,,,,,
10:37:46.959,1,1703,2017/03/23,10:38:23,31,000000,Screen change,Screen change,,,,,,
10:44:58.204,1,1704,2017/03/23,10:45:35,33,000000,Button operation,Button operation,,,,,,
10:45:01.313,1,1705,2017/03/23,10:45:38,33,000000,Button operation,Button operation,,,,,,
10:45:04.645,1,1706,2017/03/23,10:45:41,33,000000,Button operation,Button operation,,,,,,
10:54:31.703,1,1711,2017/03/23,10:55:08,33,000000,Button operation,Button operation,,,,,,
10:54:45.767,1,1712,2017/03/23,10:55:22,33,000000,Button operation,Button operation,,,,,,
10:54:47.614,1,1716,2017/03/23,10:55:24,31,000000,Screen change,Screen change,,,,,,
10:54:54.645,1,1717,2017/03/23,10:55:31,33,000000,Button operation,Button operation,,,,,,
10:55:09.591,1,1720,2017/03/23,10:55:46,03,520000,Screen manupulation error,Screen manupulation error,,,,,,
10:55:11.527,1,1723,2017/03/23,10:55:48,33,000000,Button operation,Button operation,,,,,,
10:55:11.631,1,1724,2017/03/23,10:55:48,03,260000,automatic running setting status,Go automatic running setting stats,,,,,00,000
10:55:11.765,1,1727,2017/03/23,10:55:48,31,000000,Screen change,Screen change,,,,,,
10:55:26.844,1,1728,2017/03/23,10:56:03,33,000000,Button operation,Button operation,,,,,,
10:55:26.950,1,1729,2017/03/23,10:56:03,03,260001,automatic running setting status,Exit from automatic running settng status,,,,,00,000
10:55:27.055,1,1730,2017/03/23,10:56:03,03,190000,Production configuration,Start at Production configuration,,,,,00,000
10:55:27.195,1,1732,2017/03/23,10:56:04,31,000000,Screen change,Screen change,,,,,,
10:55:28.883,1,1733,2017/03/23,10:56:05,33,000000,Button operation,Button operation,,,,,,
10:55:28.987,1,1734,2017/03/23,10:56:05,03,190001,Production configuration,Exit Production configuration,,,,,00,000
10:55:29.092,1,1735,2017/03/23,10:56:05,03,020000,Data edit,Start at editing Data,,,,,00,000
10:55:29.233,1,1737,2017/03/23,10:56:06,31,000000,Screen change,Screen change,,,,,,
10:55:30.923,1,1738,2017/03/23,10:56:07,33,000000,Button operation,Button operation,,,,,,
10:55:31.373,1,1739,2017/03/23,10:56:08,31,000000,Screen change,Screen change,,,,,,
10:55:32.023,1,1740,2017/03/23,10:56:08,33,000000,Button operation,Button operation,,,,,,
10:55:32.318,1,1741,2017/03/23,10:56:09,31,000000,Screen change,Screen change,,,,,,
10:55:33.622,1,1742,2017/03/23,10:56:10,33,000000,Button operation,Button operation,,,,,,
10:55:34.040,1,1743,2017/03/23,10:56:10,31,000000,Screen change,Screen change,,,,,,
10:55:36.822,1,1744,2017/03/23,10:56:13,33,000000,Button operation,Button operation,,,,,,
10:55:37.094,1,1745,2017/03/23,10:56:14,31,000000,Screen change,Screen change,,,,,,
10:55:38.622,1,1746,2017/03/23,10:56:15,33,000000,Button operation,Button operation,,,,,,
10:55:38.733,1,1748,2017/03/23,10:56:15,03,020001,Data edit,Exit editing Data,,,,,00,000
10:55:38.838,1,1749,2017/03/23,10:56:15,03,200000,MC adjustment,Start at MC adjustment,,,,,00,000
10:55:39.008,1,1750,2017/03/23,10:56:15,31,000000,Screen change,Screen change,,,,,,
10:55:39.522,1,1751,2017/03/23,10:56:16,33,000000,Button operation,Button operation,,,,,,
10:55:39.978,1,1752,2017/03/23,10:56:16,31,000000,Screen change,Screen change,,,,,,
10:55:43.462,1,1753,2017/03/23,10:56:20,33,000000,Button operation,Button operation,,,,,,
10:55:47.441,1,1754,2017/03/23,10:56:24,33,000000,Button operation,Button operation,,,,,,
10:55:49.961,1,1755,2017/03/23,10:56:26,33,000000,Button operation,Button operation,,,,,,
10:55:50.409,1,1759,2017/03/23,10:56:27,31,000000,Screen change,Screen change,,,,,,
10:55:55.364,1,1762,2017/03/23,10:56:31,03,520000,Screen manupulation error,Screen manupulation error,,,,,,
10:55:56.857,1,1765,2017/03/23,10:56:33,33,000000,Button operation,Button operation,,,,,,
10:55:57.041,1,1767,2017/03/23,10:56:33,03,020000,Data edit,Start at editing Data,,,,,00,000
10:55:57.244,1,1770,2017/03/23,10:56:33,31,000000,Screen change,Screen change,,,,,,
10:55:57.599,1,1771,2017/03/23,10:56:34,33,000000,Button operation,Button operation,,,,,,
10:55:58.035,1,1772,2017/03/23,10:56:34,31,000000,Screen change,Screen change,,,,,,
10:55:58.898,1,1773,2017/03/23,10:56:35,33,000000,Button operation,Button operation,,,,,,
10:56:00.101,1,1774,2017/03/23,10:56:36,33,000000,Button operation,Button operation,,,,,,
10:56:01.673,1,1777,2017/03/23,10:56:38,31,000000,Screen change,Screen change,,,,,,
10:56:06.875,1,1784,2017/03/23,10:56:44,03,110000,Auto operation,Start at Auto operation,,,,,00,000
10:56:07.224,1,1785,2017/03/23,10:56:44,03,110000,Auto operation,Start at Auto operation,,,,,00,000
10:56:07.382,1,1786,2017/03/23,10:56:44,31,000000,Screen change,Screen change,,,,,,
10:56:21.176,1,1789,2017/03/23,10:56:58,03,520000,Screen manupulation error,Screen manupulation error,,,,,,
10:56:28.964,1,1790,2017/03/23,10:57:06,33,000000,Button operation,Button operation,,,,,,
10:56:35.374,1,1791,2017/03/23,10:57:12,03,110001,Auto operation,Exit Auto operation,,,,,00,000
10:56:35.488,1,1794,2017/03/23,10:57:12,03,190000,Production configuration,Start at Production configuration,,,,,00,000
10:56:35.815,1,1797,2017/03/23,10:57:13,31,000000,Screen change,Screen change,,,,,,
10:56:36.914,1,1799,2017/03/23,10:57:14,33,000000,Button operation,Button operation,,,,,,
10:56:37.421,1,1800,2017/03/23,10:57:14,31,000000,Screen change,Screen change,,,,,,
10:56:37.653,1,1801,2017/03/23,10:57:14,33,000000,Button operation,Button operation,,,,,,
10:56:39.213,1,1802,2017/03/23,10:57:16,33,000000,Button operation,Button operation,,,,,,
10:56:40.373,1,1803,2017/03/23,10:57:17,33,000000,Button operation,Button operation,,,,,,
10:56:40.994,1,1804,2017/03/23,10:57:18,33,000000,Button operation,Button operation,,,,,,
10:56:42.952,1,1805,2017/03/23,10:57:20,31,000000,Screen change,Screen change,,,,,,
10:56:43.213,1,1806,2017/03/23,10:57:20,33,000000,Button operation,Button operation,,,,,,
10:56:48.451,1,1807,2017/03/23,10:57:25,31,000000,Screen change,Screen change,,,,,,
10:56:48.592,1,1808,2017/03/23,10:57:25,33,000000,Button operation,Button operation,,,,,,
10:56:50.392,1,1809,2017/03/23,10:57:27,33,000000,Button operation,Button operation,,,,,,
